u1,u2,u3,delta_ept,duracion_hdm,awt_mean,awt_improvement,ept_increase,combined_time_mean,combined_improvement,hdm_activations,hdm_activation_rate,awt_p50,awt_p95,ept_mean,activation_delay_applied,objective_score
6,3,8,10.0,16,4.1,0.3,5.22,33.02,-4.92,44,0.5223,4.73,11.11,28.92,2,-0.44400000000000006
6,1,7,10.0,16,4.17,0.23,7.06,34.93,-6.83,38,0.706,4.73,11.11,30.76,2,-0.952
8,1,10,8.0,19,4.31,0.08,4.45,32.46,-4.36,29,0.556,4.87,12.0,28.14,2,-0.7300000000000001
3,3,8,4.0,15,4.8,-0.4,2.47,30.96,-2.87,64,0.6164,4.92,13.75,26.16,2,-1.294
6,2,8,4.0,10,4.78,-0.38,2.39,30.87,-2.77,58,0.5984,4.91,13.75,26.09,2,-1.238
10,1,5,6.0,14,4.46,-0.06,2.86,31.02,-2.92,33,0.4773,4.88,12.9,26.56,2,-0.692
10,2,9,10.0,15,4.07,0.33,4.19,31.95,-3.86,37,0.4186,4.73,11.14,27.88,2,-0.17800000000000005
3,3,7,4.0,13,4.78,-0.39,2.41,30.89,-2.8,74,0.6028,4.91,13.75,26.11,2,-1.262
4,2,7,8.0,15,4.48,-0.08,6.25,34.43,-6.33,40,0.7816,4.93,12.0,29.95,2,-1.41
3,3,6,8.0,13,4.36,0.04,4.87,32.93,-4.84,73,0.6094,4.88,12.0,28.57,2,-0.8940000000000001
7,2,5,4.0,18,4.8,-0.4,2.49,30.99,-2.89,27,0.6225,4.92,13.75,26.19,2,-1.298
10,3,8,8.0,10,4.2,0.2,2.58,30.48,-2.38,44,0.3224,4.83,12.05,26.28,2,-0.11599999999999999
5,2,6,10.0,16,4.18,0.22,7.38,35.26,-7.17,36,0.7383,4.73,11.11,31.08,2,-1.036
10,2,6,10.0,18,4.08,0.32,4.65,32.42,-4.33,27,0.465,4.73,11.12,28.35,2,-0.29000000000000015
4,3,9,8.0,13,4.32,0.08,4.4,32.42,-4.32,65,0.5502,4.87,12.01,28.1,2,-0.7200000000000001
3,1,8,6.0,18,4.89,-0.49,5.55,34.13,-6.04,30,0.9245,5.28,12.87,29.24,2,-2.09
4,2,5,2.0,16,5.28,-0.88,1.62,30.6,-2.51,33,0.8119,5.01,14.59,25.32,2,-2.084
5,1,6,10.0,17,4.24,0.16,8.22,36.15,-8.06,36,0.8219,4.73,11.11,31.92,2,-1.324
7,3,7,10.0,20,4.1,0.3,5.26,33.05,-4.96,31,0.5257,4.73,11.11,28.95,2,-0.45200000000000007
9,2,5,6.0,15,4.5,-0.1,3.18,31.37,-3.28,33,0.5293,4.89,12.88,26.87,2,-0.8360000000000001
